"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-22 18:10:50.831,nrf-350916066834188,14.3,35.4,48.5,SAFE
2022-09-22 18:10:50.831,nrf-350916066834188,10.3,33.8,36.6,SAFE
2022-09-22 17:51:31.662,nrf-350916066834188,6.51,7.24,11.5,SAFE
2022-09-22 17:51:31.662,nrf-350916066834188,2.61,2.64,5.04,SAFE
2022-09-22 17:51:31.662,nrf-350916066834188,2.20,2.12,2.09,SAFE
2022-09-22 17:51:31.662,nrf-350916066834188,2.48,2.27,2.27,SAFE
2022-09-22 17:51:31.662,nrf-350916066834188,2.31,2.22,2.17,SAFE
2022-09-22 17:27:24.680,nrf-350916066834188,15.1,33.1,35.2,SAFE
2022-09-22 17:27:24.680,nrf-350916066834188,10.8,48.5,36.6,SAFE
2022-09-22 17:27:24.680,nrf-350916066834188,5.26,16.2,24.9,SAFE
2022-09-22 17:27:24.680,nrf-350916066834188,0.868,1.99,9.64,SAFE
2022-09-22 17:27:24.680,nrf-350916066834188,0.819,1.64,9.57,SAFE
2022-09-22 16:59:24.628,nrf-350916066834188,5.40,4.19,14.2,SAFE
2022-09-22 16:59:24.628,nrf-350916066834188,4.78,3.64,9.74,SAFE
2022-09-22 16:59:24.628,nrf-350916066834188,4.97,3.77,10.9,SAFE
2022-09-22 16:59:24.628,nrf-350916066834188,5.37,3.65,11.9,SAFE
2022-09-22 16:59:24.628,nrf-350916066834188,4.95,3.88,10.5,SAFE
2022-09-22 16:28:26.261,nrf-350916066834188,19.0,45.8,46.0,SAFE
2022-09-22 16:28:26.261,nrf-350916066834188,17.7,47.9,58.1,SAFE
2022-09-22 16:28:26.261,nrf-350916066834188,17.1,32.1,36.4,SAFE
2022-09-22 16:28:26.261,nrf-350916066834188,1.08,4.50,11.0,SAFE
2022-09-22 16:28:26.261,nrf-350916066834188,1.14,3.37,10.5,SAFE
2022-09-22 16:00:36.432,nrf-350916066834188,10.3,8.03,27.3,SAFE
2022-09-22 16:00:36.432,nrf-350916066834188,9.59,7.84,28.6,SAFE
2022-09-22 16:00:36.432,nrf-350916066834188,10.5,8.69,27.4,SAFE
2022-09-22 16:00:36.432,nrf-350916066834188,9.40,6.84,25.9,SAFE
2022-09-22 16:00:36.432,nrf-350916066834188,9.19,6.74,24.4,SAFE
2022-09-22 15:42:27.603,nrf-350916066834188,6.27,13.8,19.1,SAFE
2022-09-22 15:42:27.603,nrf-350916066834188,6.22,18.4,19.5,SAFE
2022-09-22 15:42:27.603,nrf-350916066834188,4.01,13.1,16.8,SAFE
2022-09-22 15:42:27.603,nrf-350916066834188,6.84,22.3,20.2,SAFE
