"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 23:57:41.587,nrf-351358817716720,4.63,2.38,2.00,SAFE
2022-09-23 23:57:41.587,nrf-351358817716720,4.62,2.30,1.98,SAFE
2022-09-23 23:57:41.587,nrf-351358817716720,4.59,2.40,2.11,SAFE
2022-09-23 23:57:41.587,nrf-351358817716720,4.61,2.32,2.00,SAFE
2022-09-23 23:57:41.587,nrf-351358817716720,4.59,2.37,1.99,SAFE
2022-09-23 23:45:57.459,nrf-351358817716720,4.77,2.37,1.91,SAFE
2022-09-23 23:45:57.459,nrf-351358817716720,4.73,2.25,2.08,SAFE
2022-09-23 23:45:57.459,nrf-351358817716720,4.64,2.34,1.98,SAFE
2022-09-23 23:45:57.459,nrf-351358817716720,4.65,2.38,2.03,SAFE
2022-09-23 23:45:57.459,nrf-351358817716720,4.62,2.29,1.98,SAFE
2022-09-23 23:34:14.873,nrf-351358817716720,4.60,2.27,2.04,SAFE
2022-09-23 23:34:14.873,nrf-351358817716720,4.68,2.32,2.02,SAFE
2022-09-23 23:34:14.873,nrf-351358817716720,4.63,2.34,1.98,SAFE
2022-09-23 23:34:14.873,nrf-351358817716720,4.61,2.35,1.95,SAFE
2022-09-23 23:34:14.873,nrf-351358817716720,4.64,2.27,2.03,SAFE
2022-09-23 23:22:31.773,nrf-351358817716720,4.55,2.28,1.97,SAFE
2022-09-23 23:22:31.773,nrf-351358817716720,4.63,2.30,2.01,SAFE
2022-09-23 23:22:31.773,nrf-351358817716720,4.73,2.48,1.95,SAFE
2022-09-23 23:22:31.773,nrf-351358817716720,4.66,2.36,2.00,SAFE
2022-09-23 23:22:31.773,nrf-351358817716720,4.72,2.34,1.98,SAFE
2022-09-23 23:10:46.980,nrf-351358817716720,4.68,2.31,1.93,SAFE
2022-09-23 23:10:46.980,nrf-351358817716720,4.65,2.33,2.00,SAFE
2022-09-23 23:10:46.980,nrf-351358817716720,4.72,2.43,2.01,SAFE
2022-09-23 23:10:46.980,nrf-351358817716720,4.58,2.30,1.97,SAFE
2022-09-23 23:10:46.980,nrf-351358817716720,4.57,2.33,2.00,SAFE
2022-09-23 22:59:04.556,nrf-351358817716720,4.65,2.33,1.95,SAFE
2022-09-23 22:59:04.556,nrf-351358817716720,4.69,2.28,1.98,SAFE
2022-09-23 22:59:04.556,nrf-351358817716720,4.56,2.35,2.07,SAFE
2022-09-23 22:59:04.556,nrf-351358817716720,4.72,2.32,1.97,SAFE
2022-09-23 22:59:04.556,nrf-351358817716720,4.64,2.38,1.97,SAFE
