"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-21 21:25:24.644,nrf-350916066834212,3.92,8.34,11.5,SAFE
2022-09-21 21:25:24.644,nrf-350916066834212,2.81,5.94,10.3,SAFE
2022-09-21 21:25:24.644,nrf-350916066834212,3.87,7.65,11.7,SAFE
2022-09-21 21:25:24.644,nrf-350916066834212,4.76,11.6,11.1,SAFE
2022-09-21 21:25:24.644,nrf-350916066834212,3.26,6.25,10.5,SAFE
2022-09-21 20:58:00.421,nrf-350916066834212,6.78,6.34,12.2,SAFE
2022-09-21 20:58:00.421,nrf-350916066834212,7.32,5.77,11.7,SAFE
2022-09-21 20:58:00.421,nrf-350916066834212,8.08,6.92,14.1,SAFE
2022-09-21 20:58:00.421,nrf-350916066834212,6.60,5.43,10.6,SAFE
2022-09-21 20:58:00.421,nrf-350916066834212,6.45,5.67,11.1,SAFE
2022-09-21 20:34:35.195,nrf-350916066834212,4.14,6.76,15.1,SAFE
2022-09-21 20:34:35.195,nrf-350916066834212,3.24,8.82,16.7,SAFE
2022-09-21 20:34:35.195,nrf-350916066834212,4.38,7.29,14.4,SAFE
2022-09-21 20:34:35.195,nrf-350916066834212,3.62,8.53,10.4,SAFE
2022-09-21 20:34:35.195,nrf-350916066834212,3.14,8.53,10.8,SAFE
2022-09-21 20:10:39.874,nrf-350916066834212,4.83,3.80,8.78,SAFE
2022-09-21 20:10:39.874,nrf-350916066834212,4.73,3.96,7.61,SAFE
2022-09-21 20:10:39.874,nrf-350916066834212,8.48,6.59,12.4,SAFE
2022-09-21 20:10:39.874,nrf-350916066834212,5.63,4.65,6.48,SAFE
2022-09-21 20:10:39.874,nrf-350916066834212,6.08,4.15,7.90,SAFE
2022-09-21 19:50:40.070,nrf-350916066834212,9.39,18.4,17.2,SAFE
2022-09-21 19:50:40.070,nrf-350916066834212,7.59,15.7,18.2,SAFE
2022-09-21 19:50:40.070,nrf-350916066834212,7.13,11.8,15.6,SAFE
2022-09-21 19:50:40.070,nrf-350916066834212,6.65,14.3,19.8,SAFE
2022-09-21 19:50:40.070,nrf-350916066834212,5.30,12.3,16.8,SAFE
2022-09-21 19:21:49.308,nrf-350916066834212,5.31,4.58,9.57,SAFE
2022-09-21 19:21:49.308,nrf-350916066834212,5.72,4.52,10.4,SAFE
2022-09-21 19:21:49.308,nrf-350916066834212,5.87,4.51,10.3,SAFE
2022-09-21 19:21:49.308,nrf-350916066834212,3.51,3.21,6.00,SAFE
2022-09-21 19:21:49.308,nrf-350916066834212,2.35,2.01,2.44,SAFE
2022-09-21 18:58:05.955,nrf-350916066834212,10.7,18.4,21.4,SAFE
2022-09-21 18:58:05.955,nrf-350916066834212,10.2,20.1,21.6,SAFE
2022-09-21 18:58:05.955,nrf-350916066834212,10.7,15.2,18.1,SAFE
2022-09-21 18:58:05.955,nrf-350916066834212,10.1,20.3,20.0,SAFE
2022-09-21 18:58:05.955,nrf-350916066834212,8.45,24.2,18.4,SAFE
2022-09-21 18:44:57.877,nrf-350916066834212,3.22,2.86,4.37,SAFE
2022-09-21 18:44:57.877,nrf-350916066834212,2.28,2.18,2.29,SAFE
2022-09-21 18:44:57.877,nrf-350916066834212,2.38,2.35,2.29,SAFE
2022-09-21 18:44:57.877,nrf-350916066834212,2.21,2.17,2.13,SAFE
2022-09-21 18:44:57.877,nrf-350916066834212,2.36,2.20,2.31,SAFE
2022-09-21 18:17:23.476,nrf-350916066834212,2.46,4.05,10.2,SAFE
2022-09-21 18:17:23.476,nrf-350916066834212,0.584,0.585,9.46,SAFE
2022-09-21 18:17:23.476,nrf-350916066834212,0.660,0.550,9.62,SAFE
2022-09-21 18:17:23.476,nrf-350916066834212,0.520,0.550,9.43,SAFE
2022-09-21 18:17:23.476,nrf-350916066834212,0.517,0.476,9.64,SAFE
2022-09-21 17:47:50.627,nrf-350916066834212,4.98,3.98,8.40,SAFE
2022-09-21 17:47:50.627,nrf-350916066834212,3.36,3.00,4.53,SAFE
2022-09-21 17:47:50.627,nrf-350916066834212,3.45,3.07,4.57,SAFE
2022-09-21 17:47:50.627,nrf-350916066834212,3.00,2.84,4.25,SAFE
2022-09-21 17:47:50.627,nrf-350916066834212,3.32,2.70,4.46,SAFE
2022-09-21 17:20:15.661,nrf-350916066834212,4.67,13.7,14.6,SAFE
2022-09-21 17:20:15.661,nrf-350916066834212,4.80,10.3,12.2,SAFE
2022-09-21 17:20:15.661,nrf-350916066834212,2.71,5.70,11.4,SAFE
2022-09-21 17:20:15.661,nrf-350916066834212,0.627,0.499,9.69,SAFE
2022-09-21 17:20:15.661,nrf-350916066834212,0.584,0.520,9.51,SAFE
2022-09-21 17:03:04.627,nrf-350916066834212,7.46,7.06,13.4,SAFE
2022-09-21 17:03:04.627,nrf-350916066834212,7.85,6.45,12.9,SAFE
2022-09-21 17:03:04.627,nrf-350916066834212,7.84,7.32,12.0,SAFE
2022-09-21 17:03:04.627,nrf-350916066834212,7.69,6.24,12.7,SAFE
2022-09-21 17:03:04.627,nrf-350916066834212,7.84,6.76,11.8,SAFE
2022-09-21 16:45:43.661,nrf-350916066834212,11.3,20.6,19.6,SAFE
2022-09-21 16:45:43.661,nrf-350916066834212,11.9,19.6,19.6,SAFE
2022-09-21 16:45:43.661,nrf-350916066834212,4.82,7.72,13.6,SAFE
2022-09-21 16:45:43.661,nrf-350916066834212,0.725,0.793,9.72,SAFE
2022-09-21 16:45:43.661,nrf-350916066834212,0.669,0.621,9.46,SAFE
2022-09-21 16:26:25.568,nrf-350916066834212,5.59,3.53,6.54,SAFE
2022-09-21 16:26:25.568,nrf-350916066834212,2.38,2.13,2.21,SAFE
2022-09-21 16:26:25.568,nrf-350916066834212,2.43,2.17,2.33,SAFE
2022-09-21 16:26:25.568,nrf-350916066834212,2.13,2.13,2.36,SAFE
2022-09-21 16:26:25.568,nrf-350916066834212,2.49,2.19,2.29,SAFE
2022-09-21 16:04:25.161,nrf-350916066834212,9.21,19.1,22.2,SAFE
2022-09-21 16:04:25.161,nrf-350916066834212,12.3,23.7,19.8,SAFE
2022-09-21 16:04:25.161,nrf-350916066834212,9.04,26.9,25.7,SAFE
2022-09-21 16:04:25.161,nrf-350916066834212,8.37,23.5,20.2,SAFE
2022-09-21 16:04:25.161,nrf-350916066834212,9.99,23.6,28.3,SAFE
2022-09-21 15:31:06.388,nrf-350916066834212,6.01,4.16,10.5,SAFE
2022-09-21 15:31:06.388,nrf-350916066834212,5.53,4.25,8.27,SAFE
2022-09-21 15:31:06.388,nrf-350916066834212,3.15,2.61,4.38,SAFE
2022-09-21 15:31:06.388,nrf-350916066834212,2.50,2.26,2.34,SAFE
2022-09-21 15:31:06.388,nrf-350916066834212,2.51,2.15,2.32,SAFE
2022-09-21 15:15:00.024,nrf-350916066834212,2.85,4.77,10.4,SAFE
2022-09-21 15:15:00.024,nrf-350916066834212,0.549,0.642,9.46,SAFE
2022-09-21 15:15:00.024,nrf-350916066834212,0.651,0.542,9.44,SAFE
2022-09-21 15:15:00.024,nrf-350916066834212,0.686,0.599,9.63,SAFE
2022-09-21 15:15:00.024,nrf-350916066834212,0.530,0.529,9.53,SAFE
2022-09-21 14:48:56.594,nrf-350916066834212,3.33,2.90,5.83,SAFE
2022-09-21 14:48:56.594,nrf-350916066834212,2.22,2.23,2.23,SAFE
2022-09-21 14:48:56.594,nrf-350916066834212,2.24,2.22,2.17,SAFE
2022-09-21 14:48:56.594,nrf-350916066834212,2.42,2.20,2.12,SAFE
2022-09-21 14:48:56.594,nrf-350916066834212,2.43,2.37,2.41,SAFE
2022-09-21 14:15:04.690,nrf-350916066834212,3.46,6.77,12.2,SAFE
2022-09-21 14:15:04.690,nrf-350916066834212,3.95,7.70,11.4,SAFE
2022-09-21 14:15:04.690,nrf-350916066834212,4.11,8.27,12.6,SAFE
2022-09-21 14:15:04.690,nrf-350916066834212,4.39,9.21,12.7,SAFE
2022-09-21 14:15:04.690,nrf-350916066834212,3.52,8.71,11.6,SAFE
2022-09-21 13:57:32.037,nrf-350916066834212,7.76,6.65,16.9,SAFE
2022-09-21 13:57:32.037,nrf-350916066834212,7.89,6.12,15.1,SAFE
2022-09-21 13:57:32.037,nrf-350916066834212,7.06,6.31,15.0,SAFE
2022-09-21 13:57:32.037,nrf-350916066834212,2.43,2.62,3.94,SAFE
2022-09-21 13:57:32.037,nrf-350916066834212,2.38,2.07,2.38,SAFE
2022-09-21 13:41:19.379,nrf-350916066834212,5.56,13.3,16.8,SAFE
2022-09-21 13:41:19.379,nrf-350916066834212,5.44,16.5,14.1,SAFE
2022-09-21 13:41:19.379,nrf-350916066834212,4.77,16.1,16.3,SAFE
2022-09-21 13:41:19.379,nrf-350916066834212,5.61,13.4,16.9,SAFE
2022-09-21 13:41:19.379,nrf-350916066834212,5.13,13.5,15.8,SAFE
2022-09-21 13:17:03.614,nrf-350916066834212,4.49,3.21,5.73,SAFE
2022-09-21 13:17:03.614,nrf-350916066834212,2.42,2.21,2.30,SAFE
2022-09-21 13:17:03.614,nrf-350916066834212,2.40,2.08,2.14,SAFE
2022-09-21 13:17:03.614,nrf-350916066834212,2.30,2.46,2.03,SAFE
2022-09-21 13:17:03.614,nrf-350916066834212,2.42,2.30,2.23,SAFE
2022-09-21 12:49:52.558,nrf-350916066834212,2.26,5.36,11.2,SAFE
2022-09-21 12:49:52.558,nrf-350916066834212,0.576,0.457,9.49,SAFE
2022-09-21 12:49:52.558,nrf-350916066834212,0.539,0.530,9.73,SAFE
2022-09-21 12:49:52.558,nrf-350916066834212,0.521,0.482,9.45,SAFE
2022-09-21 12:49:52.558,nrf-350916066834212,0.524,0.408,9.64,SAFE
2022-09-21 12:16:15.563,nrf-350916066834212,2.72,2.30,2.61,SAFE
2022-09-21 12:16:15.563,nrf-350916066834212,2.42,2.28,2.35,SAFE
2022-09-21 12:16:15.563,nrf-350916066834212,2.36,2.25,2.36,SAFE
2022-09-21 12:16:15.563,nrf-350916066834212,2.44,2.28,2.18,SAFE
2022-09-21 12:16:15.563,nrf-350916066834212,2.38,2.09,2.17,SAFE
2022-09-21 11:52:09.484,nrf-350916066834212,2.64,5.88,12.2,SAFE
2022-09-21 11:52:09.484,nrf-350916066834212,1.04,0.866,9.75,SAFE
2022-09-21 11:52:09.484,nrf-350916066834212,0.854,0.871,9.90,SAFE
2022-09-21 11:52:09.484,nrf-350916066834212,0.808,0.732,9.64,SAFE
2022-09-21 11:52:09.484,nrf-350916066834212,0.706,0.725,9.77,SAFE
2022-09-21 11:25:43.509,nrf-350916066834212,7.65,5.67,13.9,SAFE
2022-09-21 11:25:43.509,nrf-350916066834212,6.95,6.26,12.3,SAFE
2022-09-21 11:25:43.509,nrf-350916066834212,7.28,5.89,11.7,SAFE
2022-09-21 11:25:43.509,nrf-350916066834212,6.00,5.89,11.3,SAFE
2022-09-21 11:25:43.509,nrf-350916066834212,7.40,6.46,13.0,SAFE
2022-09-21 10:47:19.664,nrf-350916066834212,2.59,3.65,11.2,SAFE
2022-09-21 10:47:19.664,nrf-350916066834212,0.494,0.505,9.63,SAFE
2022-09-21 10:47:19.664,nrf-350916066834212,0.547,0.475,9.56,SAFE
2022-09-21 10:47:19.664,nrf-350916066834212,0.607,0.484,9.60,SAFE
2022-09-21 10:47:19.664,nrf-350916066834212,0.514,0.453,9.56,SAFE
2022-09-21 10:24:37.977,nrf-350916066834212,7.74,6.12,13.3,SAFE
2022-09-21 10:24:37.977,nrf-350916066834212,6.78,5.84,10.9,SAFE
2022-09-21 10:24:37.977,nrf-350916066834212,7.85,6.21,12.6,SAFE
2022-09-21 10:24:37.977,nrf-350916066834212,4.08,3.61,7.62,SAFE
2022-09-21 10:24:37.977,nrf-350916066834212,2.26,2.15,2.20,SAFE
2022-09-21 10:05:02.365,nrf-350916066834212,12.0,20.7,18.0,SAFE
2022-09-21 10:05:02.365,nrf-350916066834212,9.08,21.1,19.8,SAFE
2022-09-21 10:05:02.365,nrf-350916066834212,7.07,19.3,19.1,SAFE
2022-09-21 10:05:02.365,nrf-350916066834212,7.67,15.0,22.4,SAFE
2022-09-21 10:05:02.365,nrf-350916066834212,8.41,16.0,19.2,SAFE
2022-09-21 09:46:59.998,nrf-350916066834212,2.86,2.50,4.57,SAFE
2022-09-21 09:46:59.998,nrf-350916066834212,2.19,2.10,2.35,SAFE
2022-09-21 09:46:59.998,nrf-350916066834212,2.33,2.12,2.27,SAFE
2022-09-21 09:46:59.998,nrf-350916066834212,2.39,2.10,2.33,SAFE
2022-09-21 09:46:59.998,nrf-350916066834212,2.28,2.19,2.28,SAFE
2022-09-21 09:22:34.305,nrf-350916066834212,2.35,3.93,11.3,SAFE
2022-09-21 09:22:34.305,nrf-350916066834212,0.569,0.549,9.75,SAFE
2022-09-21 09:22:34.305,nrf-350916066834212,0.460,0.518,9.69,SAFE
2022-09-21 09:22:34.305,nrf-350916066834212,0.544,0.522,9.58,SAFE
2022-09-21 09:22:34.305,nrf-350916066834212,0.570,0.570,9.65,SAFE
