"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 10:44:47.308,nrf-351358817717025,2.32,2.35,2.17,SAFE
2022-09-23 10:44:47.308,nrf-351358817717025,2.22,2.22,2.57,SAFE
2022-09-23 10:44:47.308,nrf-351358817717025,2.85,2.60,5.56,SAFE
2022-09-23 10:44:47.308,nrf-351358817717025,2.21,1.94,2.09,SAFE
2022-09-23 10:44:47.308,nrf-351358817717025,2.34,2.15,2.09,SAFE
2022-08-25 09:46:14.524,nrf-351358817717025,0.281,1.06,9.17,SAFE
2022-08-25 09:46:14.524,nrf-351358817717025,0.242,1.13,9.16,SAFE
2022-08-25 09:46:14.524,nrf-351358817717025,0.218,1.21,9.14,SAFE
2022-08-25 09:46:14.524,nrf-351358817717025,0.268,1.08,9.13,SAFE
2022-08-25 09:46:14.524,nrf-351358817717025,0.217,1.08,9.09,SAFE

