"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 10:20:37.142,nrf-351358817716985,0.353,0.287,9.97,SAFE
2022-09-23 10:20:37.142,nrf-351358817716985,0.437,0.317,9.86,SAFE
2022-09-23 10:20:37.142,nrf-351358817716985,0.502,1.62,9.63,SAFE
2022-09-23 10:20:37.142,nrf-351358817716985,0.418,0.286,9.80,SAFE
2022-09-23 10:20:37.142,nrf-351358817716985,0.392,0.479,9.93,SAFE
2022-08-29 11:46:16.863,nrf-351358817716985,2.21,2.09,2.14,SAFE
2022-08-29 11:46:16.863,nrf-351358817716985,2.17,2.13,1.93,SAFE
2022-08-29 11:46:16.863,nrf-351358817716985,2.35,2.06,2.16,SAFE
2022-08-29 11:46:16.863,nrf-351358817716985,2.37,1.82,2.00,SAFE
2022-08-29 11:46:16.863,nrf-351358817716985,2.31,2.28,2.21,SAFE
2022-08-29 11:34:27.295,nrf-351358817716985,0.418,0.219,9.89,SAFE
2022-08-29 11:34:27.295,nrf-351358817716985,0.384,0.289,9.88,SAFE
2022-08-29 11:34:27.295,nrf-351358817716985,0.344,0.219,9.91,SAFE
2022-08-29 11:34:27.295,nrf-351358817716985,0.327,0.216,9.96,SAFE
2022-08-29 11:34:27.295,nrf-351358817716985,0.403,0.256,9.84,SAFE
2022-08-29 11:23:05.847,nrf-351358817716985,2.22,1.93,2.09,SAFE
2022-08-29 11:23:05.847,nrf-351358817716985,2.28,2.15,1.97,SAFE
2022-08-29 11:23:05.847,nrf-351358817716985,2.19,2.18,2.23,SAFE
2022-08-29 11:23:05.847,nrf-351358817716985,2.22,2.01,2.31,SAFE
2022-08-29 11:23:05.847,nrf-351358817716985,2.13,1.94,1.88,SAFE
2022-08-29 11:11:47.416,nrf-351358817716985,0.317,0.228,9.94,SAFE
2022-08-29 11:11:47.416,nrf-351358817716985,0.333,0.283,9.92,SAFE
2022-08-29 11:11:47.416,nrf-351358817716985,0.379,0.304,9.83,SAFE
2022-08-29 11:11:47.416,nrf-351358817716985,0.327,0.251,9.84,SAFE
2022-08-29 11:11:47.416,nrf-351358817716985,0.311,0.223,9.85,SAFE
2022-08-29 10:59:46.379,nrf-351358817716985,2.32,2.06,1.98,SAFE
2022-08-29 10:59:46.379,nrf-351358817716985,2.35,2.12,2.02,SAFE
2022-08-29 10:59:46.379,nrf-351358817716985,2.16,2.14,2.07,SAFE
2022-08-29 10:59:46.379,nrf-351358817716985,2.15,2.12,1.98,SAFE
2022-08-29 10:59:46.379,nrf-351358817716985,2.31,2.14,1.93,SAFE
2022-08-29 10:48:32.290,nrf-351358817716985,0.378,0.283,9.90,SAFE
2022-08-29 10:48:32.290,nrf-351358817716985,0.353,0.260,9.86,SAFE
2022-08-29 10:48:32.290,nrf-351358817716985,0.347,0.258,9.84,SAFE
2022-08-29 10:48:32.290,nrf-351358817716985,0.338,0.269,9.90,SAFE
2022-08-29 10:48:32.290,nrf-351358817716985,0.374,0.204,9.85,SAFE
2022-08-29 10:37:20.023,nrf-351358817716985,2.25,2.15,2.07,SAFE
2022-08-29 10:37:20.023,nrf-351358817716985,2.38,2.24,1.97,SAFE
2022-08-29 10:37:20.023,nrf-351358817716985,2.27,1.99,2.03,SAFE
2022-08-29 10:37:20.023,nrf-351358817716985,2.30,2.16,2.08,SAFE
2022-08-29 10:37:20.023,nrf-351358817716985,2.35,2.20,2.06,SAFE
2022-08-27 23:39:23.811,nrf-351358817716985,0.379,0.267,9.86,SAFE
2022-08-27 23:28:09.038,nrf-351358817716985,2.41,2.20,2.05,SAFE
2022-08-27 23:28:09.038,nrf-351358817716985,2.26,2.12,2.25,SAFE
2022-08-27 23:28:09.038,nrf-351358817716985,2.14,2.22,2.13,SAFE
2022-08-27 23:28:09.038,nrf-351358817716985,2.47,1.99,1.94,SAFE
2022-08-27 23:28:09.038,nrf-351358817716985,2.44,2.19,2.04,SAFE
2022-08-27 23:16:48.700,nrf-351358817716985,0.339,0.235,9.88,SAFE
2022-08-27 23:16:48.700,nrf-351358817716985,0.310,0.236,9.91,SAFE
2022-08-27 23:16:48.700,nrf-351358817716985,0.352,0.289,9.88,SAFE
2022-08-27 23:16:48.700,nrf-351358817716985,0.322,0.272,9.89,SAFE
2022-08-27 23:16:48.700,nrf-351358817716985,0.332,0.274,9.85,SAFE
2022-08-27 23:05:40.781,nrf-351358817716985,2.19,2.18,2.22,SAFE
2022-08-27 23:05:40.781,nrf-351358817716985,2.10,2.13,1.95,SAFE
2022-08-27 23:05:40.781,nrf-351358817716985,2.27,2.08,2.03,SAFE
2022-08-27 23:05:40.781,nrf-351358817716985,2.13,2.07,2.20,SAFE
2022-08-27 23:05:40.781,nrf-351358817716985,2.25,2.19,2.09,SAFE
2022-08-27 22:54:28.780,nrf-351358817716985,0.400,0.256,9.89,SAFE
2022-08-27 22:54:28.780,nrf-351358817716985,0.346,0.253,9.93,SAFE
2022-08-27 22:54:28.780,nrf-351358817716985,0.308,0.237,9.83,SAFE
2022-08-27 22:54:28.780,nrf-351358817716985,0.421,0.264,9.93,SAFE
2022-08-27 22:54:28.780,nrf-351358817716985,0.392,0.226,9.88,SAFE
2022-08-27 22:43:19.761,nrf-351358817716985,2.36,2.00,2.11,SAFE
2022-08-27 22:43:19.761,nrf-351358817716985,2.27,2.11,2.15,SAFE
2022-08-27 22:43:19.761,nrf-351358817716985,2.08,2.36,2.03,SAFE
2022-08-27 22:43:19.761,nrf-351358817716985,2.35,2.17,2.17,SAFE
2022-08-27 22:43:19.761,nrf-351358817716985,2.13,2.13,1.97,SAFE
2022-08-27 22:32:02.164,nrf-351358817716985,0.394,0.216,9.93,SAFE
2022-08-27 22:32:02.164,nrf-351358817716985,0.398,0.241,9.88,SAFE
2022-08-27 22:32:02.164,nrf-351358817716985,0.428,0.271,9.88,SAFE
2022-08-27 22:32:02.164,nrf-351358817716985,0.297,0.308,9.88,SAFE
2022-08-27 22:32:02.164,nrf-351358817716985,0.411,0.289,9.91,SAFE
2022-08-27 22:20:41.461,nrf-351358817716985,2.34,2.16,2.07,SAFE
2022-08-27 22:20:41.461,nrf-351358817716985,2.31,2.17,2.17,SAFE
2022-08-27 22:20:41.461,nrf-351358817716985,2.35,2.12,1.91,SAFE
2022-08-27 22:20:41.461,nrf-351358817716985,2.21,2.00,1.96,SAFE
2022-08-27 22:20:41.461,nrf-351358817716985,2.32,2.06,2.12,SAFE
2022-08-27 22:09:32.780,nrf-351358817716985,0.356,0.291,9.93,SAFE
2022-08-27 22:09:32.780,nrf-351358817716985,0.329,0.232,9.89,SAFE
2022-08-27 22:09:32.780,nrf-351358817716985,0.336,0.274,9.82,SAFE
2022-08-27 22:09:32.780,nrf-351358817716985,0.329,0.281,9.78,SAFE
2022-08-27 22:09:32.780,nrf-351358817716985,0.318,0.285,9.85,SAFE
2022-08-27 21:58:18.585,nrf-351358817716985,2.47,1.90,2.01,SAFE
2022-08-27 21:58:18.585,nrf-351358817716985,2.35,2.19,2.06,SAFE
2022-08-27 21:58:18.585,nrf-351358817716985,2.21,2.09,1.78,SAFE
2022-08-27 21:58:18.585,nrf-351358817716985,2.24,2.16,1.90,SAFE
2022-08-27 21:58:18.585,nrf-351358817716985,2.26,2.08,2.13,SAFE
2022-08-27 21:46:57.483,nrf-351358817716985,0.528,0.701,9.82,SAFE
2022-08-27 21:46:57.483,nrf-351358817716985,0.569,0.544,9.58,SAFE
2022-08-27 21:46:57.483,nrf-351358817716985,0.656,1.02,10.1,SAFE
2022-08-27 21:46:57.483,nrf-351358817716985,0.737,0.677,9.84,SAFE
2022-08-27 21:46:57.483,nrf-351358817716985,0.958,0.935,9.94,SAFE
2022-08-27 21:35:49.333,nrf-351358817716985,2.42,1.88,2.08,SAFE
2022-08-27 21:35:49.333,nrf-351358817716985,2.48,2.13,1.99,SAFE
2022-08-27 21:35:49.333,nrf-351358817716985,2.07,2.10,2.00,SAFE
2022-08-27 21:35:49.333,nrf-351358817716985,2.32,1.95,2.13,SAFE
2022-08-27 21:35:49.333,nrf-351358817716985,2.15,2.15,2.10,SAFE
2022-08-27 21:24:40.693,nrf-351358817716985,0.350,0.234,9.88,SAFE
2022-08-27 21:24:40.693,nrf-351358817716985,0.247,0.219,9.89,SAFE
2022-08-27 21:24:40.693,nrf-351358817716985,0.363,0.252,9.80,SAFE
2022-08-27 21:24:40.693,nrf-351358817716985,0.386,0.232,9.93,SAFE
2022-08-27 21:24:40.693,nrf-351358817716985,0.386,0.235,9.88,SAFE
2022-08-27 21:12:55.275,nrf-351358817716985,2.25,2.07,2.09,SAFE
2022-08-27 21:12:55.275,nrf-351358817716985,2.52,2.15,2.09,SAFE
2022-08-27 21:12:55.275,nrf-351358817716985,2.21,2.26,2.09,SAFE
2022-08-27 21:12:55.275,nrf-351358817716985,2.49,2.09,1.93,SAFE
2022-08-27 21:12:55.275,nrf-351358817716985,2.33,2.10,1.93,SAFE
2022-08-27 21:01:47.811,nrf-351358817716985,0.399,0.288,9.91,SAFE
2022-08-27 21:01:47.811,nrf-351358817716985,0.406,0.215,9.85,SAFE
2022-08-27 21:01:47.811,nrf-351358817716985,0.375,0.310,9.84,SAFE
2022-08-27 21:01:47.811,nrf-351358817716985,0.315,0.234,9.86,SAFE
2022-08-27 21:01:47.811,nrf-351358817716985,0.384,0.316,9.90,SAFE
2022-08-27 20:50:37.568,nrf-351358817716985,2.33,2.28,2.06,SAFE
2022-08-27 20:50:37.568,nrf-351358817716985,2.30,2.03,2.16,SAFE
2022-08-27 20:50:37.568,nrf-351358817716985,2.21,2.28,2.10,SAFE
2022-08-27 20:50:37.568,nrf-351358817716985,2.29,2.15,1.93,SAFE
2022-08-27 20:50:37.568,nrf-351358817716985,2.19,2.08,2.12,SAFE
2022-08-27 20:39:22.156,nrf-351358817716985,0.395,0.231,9.90,SAFE
2022-08-27 20:39:22.156,nrf-351358817716985,0.360,0.225,9.96,SAFE
2022-08-27 20:39:22.156,nrf-351358817716985,0.344,0.268,9.86,SAFE
2022-08-27 20:39:22.156,nrf-351358817716985,0.389,0.233,9.80,SAFE
2022-08-27 20:39:22.156,nrf-351358817716985,0.335,0.221,9.81,SAFE
2022-08-27 20:28:13.021,nrf-351358817716985,2.26,2.14,2.06,SAFE
2022-08-27 20:28:13.021,nrf-351358817716985,2.33,2.17,2.16,SAFE
2022-08-27 20:28:13.021,nrf-351358817716985,2.12,2.12,2.10,SAFE
2022-08-27 20:28:13.021,nrf-351358817716985,2.11,2.12,2.14,SAFE
2022-08-27 20:28:13.021,nrf-351358817716985,2.30,2.14,1.99,SAFE
2022-08-27 20:17:04.173,nrf-351358817716985,0.367,0.198,9.83,SAFE
2022-08-27 20:17:04.173,nrf-351358817716985,0.377,0.256,9.93,SAFE
2022-08-27 20:17:04.173,nrf-351358817716985,0.415,0.189,9.96,SAFE
2022-08-27 20:17:04.173,nrf-351358817716985,0.390,0.301,9.80,SAFE
2022-08-27 20:17:04.173,nrf-351358817716985,0.380,0.326,9.77,SAFE
2022-08-27 20:05:46.698,nrf-351358817716985,2.36,2.03,2.21,SAFE
2022-08-27 20:05:46.698,nrf-351358817716985,2.29,2.00,2.06,SAFE
2022-08-27 20:05:46.698,nrf-351358817716985,2.42,1.94,2.06,SAFE
2022-08-27 20:05:46.698,nrf-351358817716985,2.23,2.12,2.02,SAFE
2022-08-27 20:05:46.698,nrf-351358817716985,2.26,2.02,2.12,SAFE
2022-08-27 19:54:19.541,nrf-351358817716985,0.386,0.211,9.90,SAFE
2022-08-27 19:54:19.541,nrf-351358817716985,0.371,0.313,9.79,SAFE
2022-08-27 19:54:19.541,nrf-351358817716985,0.387,0.213,9.84,SAFE
2022-08-27 19:54:19.541,nrf-351358817716985,0.356,0.205,9.88,SAFE
2022-08-27 19:54:19.541,nrf-351358817716985,0.364,0.214,9.79,SAFE
2022-08-27 19:43:07.739,nrf-351358817716985,2.29,2.01,1.98,SAFE
2022-08-27 19:43:07.739,nrf-351358817716985,2.13,1.99,2.31,SAFE
2022-08-27 19:43:07.739,nrf-351358817716985,2.17,2.15,1.97,SAFE
2022-08-27 19:43:07.739,nrf-351358817716985,2.21,2.30,1.96,SAFE
2022-08-27 19:43:07.739,nrf-351358817716985,2.32,2.24,2.22,SAFE
2022-08-27 19:31:42.267,nrf-351358817716985,0.427,0.251,9.86,SAFE
2022-08-27 19:31:42.267,nrf-351358817716985,0.361,0.251,9.92,SAFE
2022-08-27 19:31:42.267,nrf-351358817716985,0.397,0.322,9.88,SAFE
2022-08-27 19:31:42.267,nrf-351358817716985,0.335,0.251,9.83,SAFE
2022-08-27 19:31:42.267,nrf-351358817716985,0.351,0.244,9.86,SAFE
2022-08-27 19:20:17.399,nrf-351358817716985,2.30,1.99,2.20,SAFE
2022-08-27 19:20:17.399,nrf-351358817716985,2.18,2.07,2.06,SAFE
2022-08-27 19:20:17.399,nrf-351358817716985,2.15,2.17,2.05,SAFE
2022-08-27 19:20:17.399,nrf-351358817716985,2.15,2.20,1.92,SAFE
2022-08-27 19:20:17.399,nrf-351358817716985,2.38,2.18,2.09,SAFE
2022-08-27 19:09:07.969,nrf-351358817716985,0.362,0.218,9.95,SAFE
2022-08-27 19:09:07.969,nrf-351358817716985,0.419,0.249,10.00,SAFE
2022-08-27 19:09:07.969,nrf-351358817716985,0.383,0.268,9.88,SAFE
2022-08-27 19:09:07.969,nrf-351358817716985,0.376,0.233,9.84,SAFE
2022-08-27 19:09:07.969,nrf-351358817716985,0.313,0.239,9.93,SAFE
2022-08-27 18:57:53.622,nrf-351358817716985,2.36,2.25,2.13,SAFE
2022-08-27 18:57:53.622,nrf-351358817716985,2.28,1.95,2.09,SAFE
2022-08-27 18:57:53.622,nrf-351358817716985,2.17,2.19,2.08,SAFE
2022-08-27 18:57:53.622,nrf-351358817716985,2.11,1.98,2.17,SAFE
2022-08-27 18:57:53.622,nrf-351358817716985,2.12,2.23,2.13,SAFE
2022-08-27 18:46:45.725,nrf-351358817716985,0.392,0.194,9.88,SAFE
2022-08-27 18:46:45.725,nrf-351358817716985,0.298,0.296,9.83,SAFE
2022-08-27 18:46:45.725,nrf-351358817716985,0.357,0.207,9.93,SAFE
2022-08-27 18:46:45.725,nrf-351358817716985,0.307,0.175,9.93,SAFE
2022-08-27 18:46:45.725,nrf-351358817716985,0.338,0.259,9.88,SAFE
2022-08-27 18:35:32.670,nrf-351358817716985,2.51,2.17,2.10,SAFE
2022-08-27 18:35:32.670,nrf-351358817716985,2.21,2.00,2.16,SAFE
2022-08-27 18:35:32.670,nrf-351358817716985,2.15,2.14,2.02,SAFE
2022-08-27 18:35:32.670,nrf-351358817716985,2.38,2.11,2.09,SAFE
2022-08-27 18:35:32.670,nrf-351358817716985,2.28,2.15,2.25,SAFE
2022-08-27 18:24:22.993,nrf-351358817716985,0.436,0.232,9.87,SAFE
2022-08-27 18:24:22.993,nrf-351358817716985,0.392,0.175,9.85,SAFE
2022-08-27 18:24:22.993,nrf-351358817716985,0.339,0.210,9.87,SAFE
2022-08-27 18:24:22.993,nrf-351358817716985,0.349,0.249,9.94,SAFE
2022-08-27 18:24:22.993,nrf-351358817716985,0.295,0.229,9.87,SAFE
2022-08-27 18:13:09.840,nrf-351358817716985,2.06,2.22,1.96,SAFE
2022-08-27 18:13:09.840,nrf-351358817716985,2.30,2.15,2.18,SAFE
