"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 23:48:38.514,nrf-351358817716837,40.2,16.6,25.3,SAFE
2022-09-23 23:48:38.514,nrf-351358817716837,28.1,15.6,19.8,SAFE
2022-09-23 23:48:38.514,nrf-351358817716837,28.7,11.9,18.6,SAFE
2022-09-23 23:48:38.514,nrf-351358817716837,23.4,11.2,26.0,SAFE
2022-09-23 23:48:38.514,nrf-351358817716837,10.8,3.85,12.7,SAFE
2022-09-23 22:57:43.753,nrf-351358817716837,6.13,9.14,18.5,SAFE
2022-09-23 22:57:43.753,nrf-351358817716837,5.76,8.38,21.2,SAFE
2022-09-23 22:57:43.753,nrf-351358817716837,6.21,8.25,16.7,SAFE
2022-09-23 22:57:43.753,nrf-351358817716837,4.00,5.99,9.02,SAFE
2022-09-23 22:57:43.753,nrf-351358817716837,2.41,2.28,2.35,SAFE
2022-09-23 22:01:37.586,nrf-351358817716837,16.3,6.21,16.9,SAFE
2022-09-23 22:01:37.586,nrf-351358817716837,8.00,3.86,10.5,SAFE
2022-09-23 22:01:37.586,nrf-351358817716837,19.6,9.14,13.4,SAFE
2022-09-23 22:01:37.586,nrf-351358817716837,29.3,12.6,18.8,SAFE
2022-09-23 22:01:37.586,nrf-351358817716837,21.6,7.31,17.7,SAFE
2022-09-23 21:47:53.827,nrf-351358817716837,3.19,5.10,6.93,SAFE
2022-09-23 21:47:53.827,nrf-351358817716837,3.69,6.33,9.40,SAFE
2022-09-23 21:47:53.827,nrf-351358817716837,3.38,4.80,11.6,SAFE
2022-09-23 21:47:53.827,nrf-351358817716837,3.28,3.68,10.2,SAFE
2022-09-23 21:47:53.827,nrf-351358817716837,3.45,3.95,11.4,SAFE
2022-09-23 21:26:54.602,nrf-351358817716837,50.8,23.7,28.9,SAFE
2022-09-23 21:26:54.602,nrf-351358817716837,24.1,11.9,31.3,SAFE
2022-09-23 21:26:54.602,nrf-351358817716837,29.0,10.3,33.6,SAFE
2022-09-23 21:26:54.602,nrf-351358817716837,16.3,7.12,30.1,SAFE
2022-09-23 21:26:54.602,nrf-351358817716837,4.23,2.35,9.74,SAFE
2022-09-23 21:09:42.683,nrf-351358817716837,7.63,12.0,25.6,SAFE
2022-09-23 21:09:42.683,nrf-351358817716837,7.62,11.7,21.6,SAFE
2022-09-23 21:09:42.683,nrf-351358817716837,5.99,10.0,19.3,SAFE
2022-09-23 21:09:42.683,nrf-351358817716837,7.30,11.9,22.5,SAFE
2022-09-23 21:09:42.683,nrf-351358817716837,6.12,9.39,14.3,SAFE
2022-09-23 20:50:31.317,nrf-351358817716837,67.6,24.2,41.7,SAFE
2022-09-23 20:50:31.317,nrf-351358817716837,45.0,21.1,28.7,SAFE
2022-09-23 20:50:31.317,nrf-351358817716837,56.5,24.4,33.2,SAFE
2022-09-23 20:50:31.317,nrf-351358817716837,7.20,2.89,9.89,SAFE
2022-09-23 20:50:31.317,nrf-351358817716837,2.18,1.13,9.63,SAFE
2022-09-23 19:38:43.706,nrf-351358817716837,26.9,14.4,39.7,SAFE
2022-09-23 19:38:43.706,nrf-351358817716837,22.2,9.79,21.3,SAFE
2022-09-23 19:38:43.706,nrf-351358817716837,23.8,11.3,32.7,SAFE
2022-09-23 19:38:43.706,nrf-351358817716837,18.0,9.09,27.6,SAFE
2022-09-23 19:38:43.706,nrf-351358817716837,27.9,11.4,27.8,SAFE
2022-09-23 19:09:36.768,nrf-351358817716837,3.29,4.21,9.73,SAFE
2022-09-23 19:09:36.768,nrf-351358817716837,3.97,4.52,18.8,SAFE
2022-09-23 19:09:36.768,nrf-351358817716837,4.22,5.22,19.2,SAFE
2022-09-23 19:09:36.768,nrf-351358817716837,3.97,5.23,15.1,SAFE
2022-09-23 19:09:36.768,nrf-351358817716837,4.63,5.44,17.4,SAFE
2022-09-23 18:43:50.820,nrf-351358817716837,8.01,12.7,21.9,SAFE
2022-09-23 18:43:50.820,nrf-351358817716837,8.04,12.4,23.0,SAFE
2022-09-23 18:43:50.820,nrf-351358817716837,7.47,10.8,26.6,SAFE
2022-09-23 18:43:50.820,nrf-351358817716837,8.57,11.8,19.3,SAFE
2022-09-23 18:43:50.820,nrf-351358817716837,7.60,12.2,24.8,SAFE
2022-09-23 18:31:46.619,nrf-351358817716837,33.8,13.4,20.5,SAFE
2022-09-23 18:31:46.619,nrf-351358817716837,45.8,24.5,28.8,SAFE
2022-09-23 18:31:46.619,nrf-351358817716837,34.2,16.2,32.8,SAFE
2022-09-23 18:31:46.619,nrf-351358817716837,44.4,19.6,29.3,SAFE
2022-09-23 18:31:46.619,nrf-351358817716837,27.9,13.7,21.0,SAFE
2022-09-23 18:12:10.056,nrf-351358817716837,5.87,8.61,15.6,SAFE
2022-09-23 18:12:10.056,nrf-351358817716837,5.19,5.90,7.64,SAFE
2022-09-23 18:12:10.056,nrf-351358817716837,2.20,2.24,2.27,SAFE
2022-09-23 18:12:10.056,nrf-351358817716837,2.41,2.41,2.20,SAFE
2022-09-23 18:12:10.056,nrf-351358817716837,2.30,2.17,2.08,SAFE
2022-09-23 17:43:06.273,nrf-351358817716837,37.0,19.8,29.3,SAFE
2022-09-23 17:43:06.273,nrf-351358817716837,31.8,14.4,28.8,SAFE
2022-09-23 17:43:06.273,nrf-351358817716837,31.3,16.5,29.0,SAFE
2022-09-23 17:43:06.273,nrf-351358817716837,40.6,15.7,34.4,SAFE
2022-09-23 17:43:06.273,nrf-351358817716837,22.0,14.1,17.9,SAFE
2022-09-23 17:22:24.343,nrf-351358817716837,3.94,6.04,8.36,SAFE
2022-09-23 17:22:24.343,nrf-351358817716837,4.87,6.81,12.1,SAFE
2022-09-23 17:22:24.343,nrf-351358817716837,3.66,5.80,10.0,SAFE
2022-09-23 17:22:24.343,nrf-351358817716837,2.56,2.82,2.91,SAFE
2022-09-23 17:22:24.343,nrf-351358817716837,2.12,2.37,2.10,SAFE
2022-09-23 17:04:04.439,nrf-351358817716837,38.4,15.7,20.5,SAFE
2022-09-23 17:04:04.439,nrf-351358817716837,10.4,5.62,11.5,SAFE
2022-09-23 17:04:04.439,nrf-351358817716837,7.57,3.43,9.09,SAFE
2022-09-23 17:04:04.439,nrf-351358817716837,4.64,1.61,10.0,SAFE
2022-09-23 17:04:04.439,nrf-351358817716837,2.26,0.995,9.62,SAFE
2022-09-23 16:34:59.409,nrf-351358817716837,8.01,12.6,20.4,SAFE
2022-09-23 16:34:59.409,nrf-351358817716837,8.87,14.2,20.6,SAFE
2022-09-23 16:34:59.409,nrf-351358817716837,9.11,15.3,24.0,SAFE
2022-09-23 16:34:59.409,nrf-351358817716837,8.92,13.4,22.0,SAFE
2022-09-23 16:34:59.409,nrf-351358817716837,8.44,14.1,19.6,SAFE
2022-09-23 15:55:23.666,nrf-351358817716837,18.0,7.69,23.3,SAFE
2022-09-23 15:55:23.666,nrf-351358817716837,10.6,4.24,15.3,SAFE
2022-09-23 15:55:23.666,nrf-351358817716837,8.98,3.39,10.4,SAFE
2022-09-23 15:55:23.666,nrf-351358817716837,5.20,1.94,9.24,SAFE
2022-09-23 15:55:23.666,nrf-351358817716837,7.96,2.63,9.75,SAFE
2022-09-23 15:00:41.196,nrf-351358817716837,7.50,10.4,32.4,SAFE
2022-09-23 15:00:41.196,nrf-351358817716837,5.16,7.10,24.0,SAFE
2022-09-23 15:00:41.196,nrf-351358817716837,6.32,9.46,23.3,SAFE
2022-09-23 15:00:41.196,nrf-351358817716837,3.95,5.42,17.7,SAFE
2022-09-23 15:00:41.196,nrf-351358817716837,2.34,2.27,2.47,SAFE
2022-09-23 14:05:57.526,nrf-351358817716837,23.9,9.69,16.0,SAFE
2022-09-23 14:05:57.526,nrf-351358817716837,13.0,5.29,12.2,SAFE
2022-09-23 14:05:57.526,nrf-351358817716837,6.37,2.70,10.0,SAFE
2022-09-23 14:05:57.526,nrf-351358817716837,4.63,1.72,9.30,SAFE
2022-09-23 14:05:57.526,nrf-351358817716837,4.20,1.66,9.56,SAFE
2022-09-23 13:23:05.839,nrf-351358817716837,7.53,11.4,20.7,SAFE
2022-09-23 13:23:05.839,nrf-351358817716837,5.92,8.71,13.0,SAFE
2022-09-23 13:23:05.839,nrf-351358817716837,2.22,2.50,2.53,SAFE
2022-09-23 13:23:05.839,nrf-351358817716837,2.26,2.15,2.31,SAFE
2022-09-23 13:23:05.839,nrf-351358817716837,2.22,2.07,2.17,SAFE
2022-09-23 12:59:43.588,nrf-351358817716837,30.1,15.2,28.2,SAFE
2022-09-23 12:59:43.588,nrf-351358817716837,33.0,13.1,24.6,SAFE
2022-09-23 12:59:43.588,nrf-351358817716837,27.4,10.8,19.3,SAFE
2022-09-23 12:59:43.588,nrf-351358817716837,19.0,6.15,17.1,SAFE
2022-09-23 12:59:43.588,nrf-351358817716837,6.74,2.36,10.5,SAFE
2022-09-23 12:25:25.593,nrf-351358817716837,5.93,9.54,16.3,SAFE
2022-09-23 12:25:25.593,nrf-351358817716837,6.47,10.8,20.1,SAFE
2022-09-23 12:25:25.593,nrf-351358817716837,7.02,11.5,17.6,SAFE
2022-09-23 12:25:25.593,nrf-351358817716837,8.20,12.8,18.5,SAFE
2022-09-23 12:25:25.593,nrf-351358817716837,7.06,11.4,15.3,SAFE
2022-09-23 11:56:57.379,nrf-351358817716837,24.4,9.07,16.7,SAFE
2022-09-23 11:56:57.379,nrf-351358817716837,20.5,9.53,15.9,SAFE
2022-09-23 11:56:57.379,nrf-351358817716837,27.1,11.1,20.7,SAFE
2022-09-23 11:56:57.379,nrf-351358817716837,18.1,6.30,13.4,SAFE
2022-09-23 11:56:57.379,nrf-351358817716837,14.8,6.35,15.6,SAFE
2022-09-23 11:18:55.026,nrf-351358817716837,8.43,12.3,14.1,SAFE
2022-09-23 11:18:55.026,nrf-351358817716837,2.66,3.78,4.48,SAFE
2022-09-23 11:18:55.026,nrf-351358817716837,2.55,3.22,3.90,SAFE
2022-09-23 11:18:55.026,nrf-351358817716837,2.27,2.93,2.85,SAFE
2022-09-23 11:18:55.026,nrf-351358817716837,2.53,3.11,3.14,SAFE
2022-09-23 10:57:12.704,nrf-351358817716837,50.5,19.3,34.0,SAFE
2022-09-23 10:57:12.704,nrf-351358817716837,58.5,19.4,35.3,SAFE
2022-09-23 10:57:12.704,nrf-351358817716837,64.5,32.1,39.3,SAFE
2022-09-23 10:57:12.704,nrf-351358817716837,54.9,20.5,35.7,SAFE
2022-09-23 10:57:12.704,nrf-351358817716837,61.5,20.8,37.7,SAFE
2022-09-23 10:44:43.576,nrf-351358817716837,3.35,4.10,8.41,SAFE
2022-09-23 10:44:43.576,nrf-351358817716837,3.27,4.30,9.41,SAFE
2022-09-23 10:44:43.576,nrf-351358817716837,3.90,5.48,12.9,SAFE
2022-09-23 10:44:43.576,nrf-351358817716837,3.79,4.41,13.5,SAFE
2022-09-23 10:44:43.576,nrf-351358817716837,2.20,2.35,4.63,SAFE
2022-09-23 10:32:27.632,nrf-351358817716837,56.0,23.4,26.3,SAFE
2022-09-23 10:32:27.632,nrf-351358817716837,16.9,6.83,12.7,SAFE
2022-09-23 10:32:27.632,nrf-351358817716837,14.5,4.73,15.2,SAFE
2022-09-23 10:32:27.632,nrf-351358817716837,17.8,7.04,14.0,SAFE
2022-09-23 10:32:27.632,nrf-351358817716837,14.6,6.11,13.6,SAFE
2022-09-23 10:14:44.687,nrf-351358817716837,3.48,3.92,8.79,SAFE
2022-09-23 10:14:44.687,nrf-351358817716837,3.90,5.16,10.3,SAFE
2022-09-23 10:14:44.687,nrf-351358817716837,2.34,2.21,3.90,SAFE
2022-09-23 10:14:44.687,nrf-351358817716837,2.47,2.24,2.02,SAFE
2022-09-23 10:14:44.687,nrf-351358817716837,2.22,2.34,1.91,SAFE
2022-09-23 10:01:04.940,nrf-351358817716837,24.1,8.66,14.8,SAFE
2022-09-23 10:01:04.940,nrf-351358817716837,29.9,10.6,16.8,SAFE
2022-09-23 10:01:04.940,nrf-351358817716837,29.5,9.59,13.2,SAFE
2022-09-23 10:01:04.940,nrf-351358817716837,23.2,8.06,16.2,SAFE
2022-09-23 10:01:04.940,nrf-351358817716837,25.7,9.16,19.2,SAFE
2022-09-23 09:32:22.919,nrf-351358817716837,6.12,10.7,16.1,SAFE
2022-09-23 09:32:22.919,nrf-351358817716837,5.11,7.79,16.1,SAFE
2022-09-23 09:32:22.919,nrf-351358817716837,4.79,6.89,13.5,SAFE
2022-09-23 09:32:22.919,nrf-351358817716837,7.62,9.59,33.5,SAFE
