"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 21:59:37.502,nrf-351358817716977,2.18,1.87,12.4,SAFE
2022-09-23 21:59:37.502,nrf-351358817716977,1.55,0.183,9.14,SAFE
2022-09-23 21:59:37.502,nrf-351358817716977,1.60,0.194,9.10,SAFE
2022-09-23 21:59:37.502,nrf-351358817716977,1.68,0.130,9.13,SAFE
2022-09-23 21:59:37.502,nrf-351358817716977,1.69,0.222,9.12,SAFE
2022-09-23 21:16:18.640,nrf-351358817716977,2.38,2.00,2.42,SAFE
2022-09-23 21:16:18.640,nrf-351358817716977,2.40,2.08,1.91,SAFE
2022-09-23 21:16:18.640,nrf-351358817716977,2.33,2.15,1.89,SAFE
2022-09-23 21:16:18.640,nrf-351358817716977,2.36,2.31,2.02,SAFE
2022-09-23 21:16:18.640,nrf-351358817716977,2.22,2.19,2.04,SAFE
2022-09-23 19:56:02.033,nrf-351358817716977,2.79,1.09,9.20,SAFE
2022-09-23 19:56:02.033,nrf-351358817716977,1.56,0.162,9.10,SAFE
2022-09-23 19:56:02.033,nrf-351358817716977,1.62,0.107,9.18,SAFE
2022-09-23 19:56:02.033,nrf-351358817716977,1.65,0.153,9.17,SAFE
2022-09-23 19:56:02.033,nrf-351358817716977,1.61,0.150,9.18,SAFE
2022-09-23 19:17:47.982,nrf-351358817716977,2.42,2.10,3.95,SAFE
2022-09-23 19:17:47.982,nrf-351358817716977,2.26,1.92,1.97,SAFE
2022-09-23 19:17:47.982,nrf-351358817716977,2.39,2.08,2.13,SAFE
2022-09-23 19:17:47.982,nrf-351358817716977,2.40,2.04,1.73,SAFE
2022-09-23 19:17:47.982,nrf-351358817716977,2.33,1.97,2.19,SAFE
2022-09-23 17:58:38.774,nrf-351358817716977,2.35,1.39,9.48,SAFE
2022-09-23 17:58:38.774,nrf-351358817716977,1.61,0.151,9.14,SAFE
2022-09-23 17:58:38.774,nrf-351358817716977,1.61,0.149,9.17,SAFE
2022-09-23 17:58:38.774,nrf-351358817716977,1.60,0.248,9.18,SAFE
2022-09-23 17:58:38.774,nrf-351358817716977,1.59,0.176,9.13,SAFE
2022-09-23 16:59:58.575,nrf-351358817716977,2.56,2.10,3.75,SAFE
2022-09-23 16:59:58.575,nrf-351358817716977,2.38,2.07,1.90,SAFE
2022-09-23 16:59:58.575,nrf-351358817716977,2.36,2.01,2.03,SAFE
2022-09-23 16:59:58.575,nrf-351358817716977,2.40,1.99,1.97,SAFE
2022-09-23 16:59:58.575,nrf-351358817716977,2.48,2.05,2.05,SAFE
2022-09-23 16:04:45.774,nrf-351358817716977,2.03,1.19,9.93,SAFE
2022-09-23 16:04:45.774,nrf-351358817716977,1.64,0.140,9.06,SAFE
2022-09-23 16:04:45.774,nrf-351358817716977,1.67,0.168,9.08,SAFE
2022-09-23 16:04:45.774,nrf-351358817716977,1.65,0.210,9.12,SAFE
2022-09-23 16:04:45.774,nrf-351358817716977,1.61,0.169,9.12,SAFE
2022-09-23 15:11:32.603,nrf-351358817716977,2.50,1.93,2.44,SAFE
2022-09-23 15:11:32.603,nrf-351358817716977,2.35,2.07,1.86,SAFE
2022-09-23 15:11:32.603,nrf-351358817716977,2.42,1.90,2.05,SAFE
2022-09-23 15:11:32.603,nrf-351358817716977,2.34,2.06,2.01,SAFE
2022-09-23 15:11:32.603,nrf-351358817716977,2.45,2.01,2.01,SAFE
2022-09-23 13:12:19.131,nrf-351358817716977,2.27,1.40,8.97,SAFE
2022-09-23 13:12:19.131,nrf-351358817716977,1.59,0.185,9.12,SAFE
2022-09-23 13:12:19.131,nrf-351358817716977,1.57,0.150,9.16,SAFE
2022-09-23 13:12:19.131,nrf-351358817716977,1.58,0.168,9.16,SAFE
2022-09-23 13:12:19.131,nrf-351358817716977,1.57,0.126,9.14,SAFE
2022-09-23 11:34:17.169,nrf-351358817716977,2.28,1.94,1.92,SAFE
2022-09-23 11:34:17.169,nrf-351358817716977,2.30,2.14,1.99,SAFE
2022-09-23 11:34:17.169,nrf-351358817716977,2.16,2.14,1.96,SAFE
2022-09-23 11:34:17.169,nrf-351358817716977,2.19,2.05,2.11,SAFE
2022-09-23 11:34:17.169,nrf-351358817716977,2.35,1.99,2.04,SAFE
2022-09-23 11:04:50.638,nrf-351358817716977,2.75,0.654,9.10,SAFE
2022-09-23 11:04:50.638,nrf-351358817716977,1.57,0.175,9.14,SAFE
2022-09-23 11:04:50.638,nrf-351358817716977,1.55,0.167,9.19,SAFE
2022-09-23 11:04:50.638,nrf-351358817716977,1.59,0.100,9.12,SAFE
2022-09-23 11:04:50.638,nrf-351358817716977,1.56,0.157,9.11,SAFE
2022-09-23 10:40:07.734,nrf-351358817716977,2.35,1.95,1.99,SAFE
2022-09-23 10:40:07.734,nrf-351358817716977,2.31,1.91,2.10,SAFE
2022-09-23 10:40:07.734,nrf-351358817716977,2.63,2.36,3.23,SAFE
2022-09-23 10:40:07.734,nrf-351358817716977,2.41,2.03,2.16,SAFE
2022-09-23 10:40:07.734,nrf-351358817716977,2.11,2.07,2.26,SAFE
2022-09-23 07:00:01.890,nrf-351358817716977,2.11,1.89,9.65,SAFE
2022-09-23 07:00:01.890,nrf-351358817716977,1.59,0.174,9.15,SAFE
2022-09-23 07:00:01.890,nrf-351358817716977,1.60,0.0967,9.17,SAFE
2022-09-23 07:00:01.890,nrf-351358817716977,1.64,0.225,9.18,SAFE
2022-09-23 07:00:01.890,nrf-351358817716977,1.61,0.211,9.17,SAFE
2022-09-23 05:59:56.847,nrf-351358817716977,2.35,2.04,3.96,SAFE
2022-09-23 05:59:56.847,nrf-351358817716977,2.38,2.03,2.25,SAFE
2022-09-23 05:59:56.847,nrf-351358817716977,2.10,2.06,2.00,SAFE
2022-09-23 05:59:56.847,nrf-351358817716977,2.18,1.99,2.04,SAFE
2022-09-23 05:59:56.847,nrf-351358817716977,2.09,1.96,2.07,SAFE
2022-09-23 05:00:57.578,nrf-351358817716977,3.02,2.07,9.87,SAFE
2022-09-23 05:00:57.578,nrf-351358817716977,1.62,0.177,9.19,SAFE
2022-09-23 05:00:57.578,nrf-351358817716977,1.63,0.211,9.01,SAFE
2022-09-23 05:00:57.578,nrf-351358817716977,1.60,0.148,9.18,SAFE
2022-09-23 05:00:57.578,nrf-351358817716977,1.63,0.172,8.97,SAFE
2022-09-22 21:04:17.827,nrf-351358817716977,2.29,2.21,3.92,SAFE
2022-09-22 21:04:17.827,nrf-351358817716977,2.28,1.87,1.95,SAFE
2022-09-22 21:04:17.827,nrf-351358817716977,2.23,2.05,1.89,SAFE
2022-09-22 21:04:17.827,nrf-351358817716977,2.26,1.90,2.08,SAFE
2022-09-22 21:04:17.827,nrf-351358817716977,2.47,2.16,1.97,SAFE
2022-09-22 19:57:35.534,nrf-351358817716977,2.51,1.98,10.8,SAFE
2022-09-22 19:57:35.534,nrf-351358817716977,1.64,0.150,9.12,SAFE
2022-09-22 19:57:35.534,nrf-351358817716977,1.67,0.221,9.13,SAFE
2022-09-22 19:57:35.534,nrf-351358817716977,1.58,0.152,9.10,SAFE
2022-09-22 19:57:35.534,nrf-351358817716977,1.63,0.144,9.18,SAFE
2022-09-22 19:00:00.642,nrf-351358817716977,2.23,2.08,4.63,SAFE
2022-09-22 19:00:00.642,nrf-351358817716977,2.37,1.94,2.19,SAFE
2022-09-22 19:00:00.642,nrf-351358817716977,2.25,2.18,1.99,SAFE
2022-09-22 19:00:00.642,nrf-351358817716977,2.31,2.01,1.93,SAFE
2022-09-22 19:00:00.642,nrf-351358817716977,2.31,2.00,2.07,SAFE
2022-09-22 17:58:36.994,nrf-351358817716977,3.85,1.94,8.91,SAFE
2022-09-22 17:58:36.994,nrf-351358817716977,1.58,0.215,9.14,SAFE
2022-09-22 17:58:36.994,nrf-351358817716977,1.58,0.225,9.15,SAFE
2022-09-22 17:58:36.994,nrf-351358817716977,1.60,0.219,9.14,SAFE
2022-09-22 17:58:36.994,nrf-351358817716977,1.60,0.169,9.11,SAFE
2022-09-22 16:54:38.048,nrf-351358817716977,2.38,1.95,2.13,SAFE
2022-09-22 16:54:38.048,nrf-351358817716977,2.35,1.96,1.87,SAFE
2022-09-22 16:54:38.048,nrf-351358817716977,2.54,2.01,1.94,SAFE
2022-09-22 16:54:38.048,nrf-351358817716977,2.32,1.98,2.05,SAFE
2022-09-22 16:54:38.048,nrf-351358817716977,2.25,2.09,1.95,SAFE
2022-09-22 15:58:32.402,nrf-351358817716977,2.84,1.47,9.72,SAFE
2022-09-22 15:58:32.402,nrf-351358817716977,1.58,0.168,9.16,SAFE
2022-09-22 15:58:32.402,nrf-351358817716977,1.57,0.104,9.15,SAFE
2022-09-22 15:58:32.402,nrf-351358817716977,1.72,0.214,9.17,SAFE
2022-09-22 15:58:32.402,nrf-351358817716977,1.64,0.186,9.07,SAFE
2022-09-22 13:02:23.542,nrf-351358817716977,2.42,2.26,3.85,SAFE
2022-09-22 13:02:23.542,nrf-351358817716977,2.40,2.01,1.96,SAFE
2022-09-22 13:02:23.542,nrf-351358817716977,2.40,2.06,2.07,SAFE
2022-09-22 13:02:23.542,nrf-351358817716977,2.35,2.02,1.93,SAFE
2022-09-22 13:02:23.542,nrf-351358817716977,2.32,1.93,1.93,SAFE
2022-09-22 11:06:29.170,nrf-351358817716977,1.59,0.142,9.13,SAFE
2022-09-22 11:06:29.170,nrf-351358817716977,1.58,0.187,9.11,SAFE
2022-09-22 11:06:29.170,nrf-351358817716977,1.64,0.204,9.12,SAFE
2022-09-22 11:06:29.170,nrf-351358817716977,1.56,0.175,9.12,SAFE
2022-09-22 11:06:29.170,nrf-351358817716977,1.60,0.186,9.23,SAFE
2022-09-22 07:57:26.250,nrf-351358817716977,2.36,2.19,4.04,SAFE
2022-09-22 07:57:26.250,nrf-351358817716977,2.21,2.04,2.16,SAFE
2022-09-22 07:57:26.250,nrf-351358817716977,2.29,1.99,2.19,SAFE
2022-09-22 07:57:26.250,nrf-351358817716977,2.33,1.94,2.26,SAFE
2022-09-22 07:01:10.091,nrf-351358817716977,1.94,2.57,9.62,SAFE
2022-09-22 07:01:10.091,nrf-351358817716977,1.62,0.170,9.17,SAFE
2022-09-22 07:01:10.091,nrf-351358817716977,1.65,0.192,9.14,SAFE
2022-09-22 07:01:10.091,nrf-351358817716977,1.65,0.151,9.15,SAFE
2022-09-22 07:01:10.091,nrf-351358817716977,1.63,0.188,9.15,SAFE
2022-09-22 00:01:37.602,nrf-351358817716977,2.51,2.13,3.79,SAFE
2022-09-22 00:01:37.602,nrf-351358817716977,2.37,2.04,1.85,SAFE
2022-09-22 00:01:37.602,nrf-351358817716977,2.37,2.00,2.19,SAFE
2022-09-22 00:01:37.602,nrf-351358817716977,2.23,2.11,2.02,SAFE
2022-09-22 00:01:37.602,nrf-351358817716977,2.29,2.11,1.96,SAFE
2022-09-20 09:01:30.664,nrf-351358817716977,2.44,2.32,3.75,SAFE
2022-09-20 09:01:30.664,nrf-351358817716977,2.04,1.99,1.87,SAFE
2022-09-20 09:01:30.664,nrf-351358817716977,2.13,2.17,2.10,SAFE
2022-09-20 09:01:30.664,nrf-351358817716977,2.16,1.97,2.09,SAFE
2022-09-20 09:01:30.664,nrf-351358817716977,2.16,2.17,1.93,SAFE
2022-09-20 08:00:30.691,nrf-351358817716977,2.73,1.83,8.60,SAFE
2022-09-20 08:00:30.691,nrf-351358817716977,1.55,0.250,9.26,SAFE
2022-09-20 08:00:30.691,nrf-351358817716977,1.57,0.228,9.22,SAFE
2022-09-20 08:00:30.691,nrf-351358817716977,1.52,0.115,9.10,SAFE
2022-09-20 08:00:30.691,nrf-351358817716977,1.56,0.130,9.18,SAFE
2022-09-20 06:59:41.555,nrf-351358817716977,2.47,2.10,3.95,SAFE
2022-09-20 06:59:41.555,nrf-351358817716977,2.21,2.01,1.97,SAFE
2022-09-20 06:59:41.555,nrf-351358817716977,2.01,2.30,2.10,SAFE
2022-09-20 06:59:41.555,nrf-351358817716977,2.21,2.00,1.85,SAFE
2022-09-20 06:59:41.555,nrf-351358817716977,2.24,2.02,2.00,SAFE
2022-09-20 05:55:00.081,nrf-351358817716977,1.85,1.25,9.31,SAFE
2022-09-20 05:55:00.081,nrf-351358817716977,1.72,0.199,9.17,SAFE
2022-09-20 05:55:00.081,nrf-351358817716977,1.58,0.154,9.22,SAFE
2022-09-20 05:55:00.081,nrf-351358817716977,1.58,0.189,9.11,SAFE
2022-09-20 05:55:00.081,nrf-351358817716977,1.58,0.150,9.14,SAFE
2022-09-20 00:04:43.488,nrf-351358817716977,2.30,2.13,3.76,SAFE
2022-09-20 00:04:43.488,nrf-351358817716977,2.18,2.12,2.01,SAFE
2022-09-20 00:04:43.488,nrf-351358817716977,2.15,2.14,1.97,SAFE
2022-09-20 00:04:43.488,nrf-351358817716977,2.15,2.25,2.09,SAFE
2022-09-20 00:04:43.488,nrf-351358817716977,2.28,2.22,2.23,SAFE
2022-09-19 19:58:08.135,nrf-351358817716977,1.98,1.38,8.81,SAFE
2022-09-19 19:58:08.135,nrf-351358817716977,1.60,0.0558,9.11,SAFE
2022-09-19 19:58:08.135,nrf-351358817716977,1.63,0.170,9.20,SAFE
2022-09-19 19:58:08.135,nrf-351358817716977,1.61,0.238,9.22,SAFE
2022-09-19 19:58:08.135,nrf-351358817716977,1.49,0.141,9.19,SAFE
2022-09-19 17:56:03.439,nrf-351358817716977,2.46,2.14,2.18,SAFE
2022-09-19 17:56:03.439,nrf-351358817716977,2.28,1.90,1.85,SAFE
2022-09-19 17:56:03.439,nrf-351358817716977,2.18,1.91,1.86,SAFE
2022-09-19 17:56:03.439,nrf-351358817716977,2.10,2.10,1.91,SAFE
2022-09-19 17:56:03.439,nrf-351358817716977,2.21,2.21,2.07,SAFE
2022-09-19 16:10:09.721,nrf-351358817716977,1.77,0.573,9.26,SAFE
2022-09-19 16:10:09.721,nrf-351358817716977,1.58,0.135,9.20,SAFE
2022-09-19 16:10:09.721,nrf-351358817716977,1.58,0.169,9.12,SAFE
2022-09-19 16:10:09.721,nrf-351358817716977,1.62,0.176,9.13,SAFE
2022-09-19 16:10:09.721,nrf-351358817716977,1.56,0.111,9.15,SAFE
2022-09-19 15:15:03.842,nrf-351358817716977,2.41,2.28,2.27,SAFE
